Bill ID,Buyer name,Buyer contact,ProductID,ProductName,GST,Price,Quantity,Total
25,Jainam,872586128,123,Bed side table with storage shelf ,270.061056,5626.272,2,11792.666111999999
25,Jainam,872586128,122,Medium coffee table ,454.381056,9466.272,3,29761.959168
25,Jainam,872586128,154,cm TV table,730.861056,15226.272,1,15957.133056
25,Jainam,872586128,167,Modern TV table ,339.18105599999996,7066.272,3,22216.359168000003
25,Jainam,872586128,157,Sarcomisr Manager Medical Office Chair - Black & White ,380.72217600000005,7931.712,3,24937.302528
25,Jainam,872586128,170,cm TV table,730.861056,15226.272,3,47871.399168
25,Jainam,872586128,177,cm TV table,730.861056,15226.272,5,79785.66528
25,Jainam,872586128,199,Modern desk with side shelves ,818.4821759999999,17051.712,3,53610.582528
25,Jainam,872586128,179,Study desk with open drawer ,315.91065599999996,6581.472,3,20692.147967999997
25,Jainam,872586128,102,Bed side table ,316.141056,6586.272,3,20707.239168
25,Jainam,872586128,103,Modern Zigzag TV Table ,292.870656,6101.472,2,12788.685312
25,Jainam,872586128,110,Modern Zigzag TV Table ,292.870656,6101.472,4,25577.370624
25,Jainam,872586128,105,Wall Mounted TV Unit with Cabinet TV Stand Unit with Shelves for Living Room (Brown with White),334.64217600000006,6971.712,3,21919.062528000002
